department,course,name,units,description,prereqs,satisfies,grading,repeatable,crosslist,sustainability,notes
AAS,175,Asian American Communities,3 unit(s),"Asian American demography, institutions and contemporary issues.","Prerequisite(s): Completion of Core General Education and upper division standing are prerequisites to all SJSU studies courses. Completion of, or co-registration in, 100W is strongly recommended.","Satisfies SJSU Studies S: Self, Society & Equality in U.S.",Grading: Letter Graded,,,"Sustainability Focused - SDG 16: Peace, Justice and Strong Institutions ",
AAS,180,Individual Studies,1-4 unit(s),Individual study and research.,Prerequisite(s): Not available to Open University Students.,,Grading: Credit/No Credit,,,,
AAS,185,Multicultural Perspectives within American Society,3 unit(s),Examination of historical and sociocultural perspectives of American ethnic minorities. Theoretical and methodological approaches to the study of American ethnic minorities.,Prerequisite(s): Upper division or Graduate/PBAC standing.,,Grading: Letter Graded,,,,
AAS,186,Southeast Asian Diaspora in the US,3 unit(s),"Introduction to the field of critical refugee studies and Southeast Asian American studies. Focuses on the diasporic movements of people due to the Wars in Southeast Asia, popularly known as the “Vietnam War”. Analyzes war, empire, militarism, and humanitarianism to better conceptualize a refugee epistemology. Examines how particular refugee subjects - Vietnamese, Cambodian, Lao, Hmong - negotiate their refugee status and stories via memory and cultural production.",Prerequisite(s): Upper division standing.,,Grading: Letter Graded,,,,
AAS,190,Internship,1-4 unit(s),"On-site experience with an Asian American community organization. Regular class meetings scheduled to discuss knowledge, skills and ideas related to the internship experience. Repeatable for credit with program coordinator approval.",Prerequisite(s): AAS 33B or instructor consent.,,Grading: Credit/No Credit,,,,
AAS,192,History of Japanese Americans,3 unit(s),"The Japanese in America from approximately 1800. Includes relocation, wartime conditions, post-war history and contemporary situations.",,,Grading: Letter Graded,,,,
ADV,91,Introduction to Advertising,3 unit(s),"Comprehensive survey of the basic principles of advertising. Topics include: strategic planning, integrated communications, audience targeting, creative strategy, advertising media, social responsibility, advertising ethics, international advertising and current issues in advertising.",,,Grading: Letter Graded,,,,
ADV,92,International Program Studies,1-12 unit(s),"Study Abroad and Away transfer credit course. Study Abroad and Away provides students the opportunity to study abroad on long term programs (Exchange Programs, CSU International Programs, and International Student Exchange Programs) and short-term programs (Faculty-Led Programs and Summer School Abroad Programs) for academic credit, offering Alternative Break Programs for cultural immersion, and designing other globally focused opportunities. This course is designated as a placeholder course for Study Abroad and Away programs.",,,Grading: Mixed Grading,,,,
ADV,93,Design Fundamentals for Advertising 1,3 unit(s),"Introduces students to the ideation and design process as it relates to advertising. Students learn design thinking, ideation techniques, print design, screen design, advertising formats and storytelling across media platforms.",,,Grading: Letter Graded,,,,
ADV,94,Design Fundamentals for Advertising 2,3 unit(s),"Introduction to digital video production and editing. Focus on learning how to tell a story by combining video and audio, story boarding, script writing, framing, creating a shot sequence, video editing and special effects using industry-standard software.",,,Grading: Letter Graded.,,,,
ADV,95,Working With Type,3 unit(s),"Theory and practice of typography as they apply to graphics, advertising and other areas of visual communication. Through a series of projects students develop a greater sensitivity to typographic details to create successful typographic messages.",,,Grading: Letter Graded,,,,
ADV,116,Spartan Daily Advertising Staff,3 unit(s),"Class constitutes the paid advertising staff of the online and print editions of the Spartan Daily. Students work with clients and handle the newspaper’s advertising sales and production. Experience in selling and managing advertising space, both print and broadcast, and the practical applications of newspaper layout and design and the use of market research and market interpretation.",Prerequisite(s): ADV 91 or instructor consent.,,Grading: Letter Graded,,,,
ADV,121,Strategic Planning/Communications,3 unit(s),"Tools and frameworks for marketing management and strategic communications, including addressing communication issues such as budgets, coordinating agency functions, and delivering an effective marketing and communications plan.",,,Grading: Letter Graded,Course may be repeated for credit for up to 6 units.,,,
ADV,122,Business-to-Business Advertising,3 unit(s),"Principles and practices of developing marketing communications programs and collateral materials for business-to-business products and services; translating technical information into persuasive communications; direct marketing, and other forms of sales support communications.",Prerequisite(s): ADV 91.,,Grading: Letter Graded,,,,
ADV,123,Broadcast and New Media Advertising,3 unit(s),"History, development, and current applications of traditional broadcast advertising, the Internet as an advertising medium, and the implications of emerging new media. Focus is on creative strategy and media strategy.",Prerequisite(s): ADV 91.,,Grading: Letter Graded,,,,
ADV,124,Copywriting,3 unit(s),"Conceptual development. Advertising theory used in the development of writing, editing and evaluating advertising copy. Research methods and techniques. Ethical problems.","Prerequisite(s): ADV 91, MCOM 100W and ENGL 71.",,Grading: Letter Graded,,,,
ADV,125,Advertising Layout and Production,3 unit(s),"Principles of design applied to print advertising; print production theory and practical application. Preparation of layouts and mechanicals utilizing latest computer applications. Instruction in use of type, printing processes, types of paper, uses of color.",Prerequisite(s): ADV 91.,,Grading: Letter Graded,,,Sustainability Related - SDG 12: Responsible Consumption and Production ,
ADV,126,Media Planning and Buying,3 unit(s),"Theory, evaluation and selection of advertising media for a variety of target audiences; demographics and psychographics. Students plan, buy and measure the success of a real media plan.",Prerequisite(s): ADV 91 and BUS2 130.,,Grading: Letter Graded,,,,
ADV,128,Integrated Marketing Communications (IMC),3 unit(s),"Learn how advertising, public relations, promotions, and marketing all work together to achieve campaign objectives. Strategic planning, budgeting, research, tactics, evaluation, presentation skills and team building.",Prerequisite(s): Three ADV courses and BUS2 130.,,Grading: Letter Graded,,,,
ADV,129,Advertising Campaign Planning and Management,3 unit(s),Capstone course in which students engage hands-on in the process and methods employed to develop a fully integrated advertising campaign based on the marketing objectives established by a real-world client.,Prerequisite(s): MCOM 111 or ADV 116.,,Grading: Letter Graded,,,,
ADV,130,Advertising Portfolio 1,3 unit(s),"Apply fundamentals of design thinking, teamwork, and various media methods to creating a body of advertising work in the form of a portfolio. Students work on a series of projects and award show briefs in creative teams.","Prerequisite(s): ADV 91, ADV 93, and ADV 94",,Grading: Letter Graded,,,,
ADV,131,Advertising Portfolio 2,3 unit(s),Students enhance portfolios developed in Advertising Portfolio 1 with more award show work and live client projects. Each brief requires development of technical skills across media platforms and production of professional work.,"Prerequisite(s): ADV 91, ADV 93, ADV 94, ADV 130 ",,Grading: Letter Graded,,,,
ADV,132,UX UI Design for Advertising,3 unit(s),"Human centered design process as it pertains to user interaction (UI) and user experience (UX) design. Students conduct basic user research to create personas that guide the development of content strategy, information architecture, feature sets, wireframes and annotations as they pertain to (1) large scale web development and (2) integrated campaign assignments that cover a wide range of interactive platforms.","Prerequisite(s): ADV 91, ADV 93, and ADV 94 ",,Grading: Letter Graded,,,,
ADV,192,International Program Studies,1-6 unit(s),"Study Abroad and Away transfer credit course. Study Abroad and Away provides students the opportunity to study abroad on long term programs (Exchange Programs, CSU International Programs, and International Student Exchange Programs) and short-term programs (Faculty-Led Programs and Summer School Abroad Programs) for academic credit, offering Alternative Break Programs for cultural immersion, and designing other globally focused opportunities. This course is designated as a placeholder course for Study Abroad and Away programs.",,,Grading: Mixed Grading,,,,
AE,15,"Air & Space Flight: Past, Present, and Future",1 unit(s),"Introduction to the history, basic principles, current and future developments of the aerospace engineering field through projects, guest speakers and field trips.",,,Grading: Letter Graded,,,,
AE,20,Computer-Aided Design for Aerospace Engineers,2 unit(s),Introduction to the fundamentals of drafting and computer-aided design with applications in aircraft and spacecraft design.,,,Grading: Letter Graded,,,,
AE,30,Computer Programming for Aerospace Engineers,2 unit(s),"C language: Variables, data types, operators, functions, modular programming, input/output sequence, pointers and memory addressing, external libraries, dynamic memory allocation. MATLAB: Variables, scripts, operations, visualization, plotting and programming. Equation solving and curve fitting. Symbolics, Simulink and I/O building block.",,,Grading: Letter Graded,,,,
AE,92,International Program Studies,1-12 unit(s),"Study Abroad and Away transfer credit course. Study Abroad and Away provides students the opportunity to study abroad on long term programs (Exchange Programs, CSU International Programs, and International Student Exchange Programs) and short-term programs (Faculty-Led Programs and Summer School Abroad Programs) for academic credit, offering Alternative Break Programs for cultural immersion, and designing other globally focused opportunities. This course is designated as a placeholder course for Study Abroad and Away programs.",,,Grading: Mixed Grading,,,,
AE,100,Fundamentals of Aerospace Engineering,3 unit(s),"Introduction to the fundamental disciplines and concepts of aerospace engineering and in particular of aerodynamics, aerospace structures, stability and control, propulsion, and flight mechanics.","Prerequisite(s): C or better in (MATH 30 or MATH 30X) and PHYS 50, or graduate standing.",,Grading: Letter Graded,,,,
AE,110,Space Systems Engineering,3 unit(s),"Introduction to design, analysis and operation of spacecraft power, communications, attitude determination/control, structures, propulsion, thermal management systems. Typical payload systems design and operation, including remote Earth sensors. System integration issues. Lab experiments.","Prerequisite(s): C or better in AE 100 or AE 165, or graduate standing.",,Grading: Letter Graded,,,,
AE,112,Aerospace Structural Analysis I,4 unit(s),"Aircraft loads, V-n diagram; spacecraft boost loads. Free-body diagrams, 2-D and 3-D force and moment equilibrium. Centroid and area moment of inertia. Shear force and bending moment diagrams; cantilevered wings & internal support structures; stress/strain relationships; Mohr’s Circle. Experimental strain measurement.",Prerequisite(s): “C” or better in PHYS 50 and (MATH 31 or MATH 31X) or graduate standing.,,Grading: Letter Graded,,,,
AE,112W,AE Structural Analysis I Problem-Solving Workshop,1 unit(s),"Each workshop begins with a problem statement, coordinated with the material discussed in the AE 112 lectures. Students work alone but may ask the instructor for help. After each session, solutions are posted on Canvas.",,,Grading: Letter Graded,,,,
AE,114,Aerospace Structural Analysis II,3 unit(s),"Aircraft, missile, spacecraft structural design and analysis. Static, elastic and stress analysis of structures. Structural materials. Deflection analysis of structural systems. Conventional, stiffened, sandwich and composite structures. Structural dynamics. Thermal effects.",Prerequisite(s): C or better in AE 112 or graduate standing.,,Grading: Letter Graded,,,,
AE,114W,AE Structural Analysis II Problem-Solving Workshop,1 unit(s),"Each workshop begins with a problem statement, coordinated with the material discussed in the AE 114 lectures. Students work alone but may ask the instructor for help. After each session, solutions are posted on Canvas.",,,Grading: Letter Graded,,,,
AE,119,Finite Element Analysis for Aerospace Applications,3 unit(s),Physical and mathematical foundations of the finite element method with emphasis on aerospace applications.,Prerequisite(s): AE 114 with C or better.,,Grading: Letter graded.,,,,
AE,138,Vector-Based Dynamics for Aerospace Applications,3 unit(s),"Vector mechanics of three degree-of-freedom particle motion. Particle kinematics, reference frames and rotational relative motion. Two degree-of-freedom rigid body motion, moments/products of inertia. Particle & rigid body equations of motion and numerical time histories.","Prerequisite(s): C or better in (MATH 32 or MATH 32X) and PHYS 50, or graduate standing. ",,Grading: Letter Graded,,,,
AE,138W,Vector-Based Dynamics Problem-Solving Workshop,1 unit(s),"Each workshop begins with a problem statement, coordinated with the material discussed in the AE 138 lectures. Students work alone but may ask the instructor for help. After each session, solutions are posted on Canvas.",,,Grading: Letter Graded,,,,
AE,140,Rigid Body Dynamics,3 unit(s),Coordinate frames and descriptions of absolute and relative motion. General equations of rotational motion for single and multibody systems in Euler and Lagrangian formulations. Elasticity and dissipation effects. Spinning body motions. Impulsive motions. Applications to aerospace vehicles.,Prerequisite(s): C or better in AE 138 or graduate standing.,,Grading: Letter Graded,,,,
AE,140W,Rigid Body Dynamics Problem-Solving Workshop,1 unit(s),"Each workshop begins with a problem statement, coordinated with the material discussed in the AE 140 lectures. Students work alone but may ask the instructor for help. After each session, solutions are posted on Canvas.",,,Grading: Letter Graded,,,,
AE,142,Astrodynamics,3 unit(s),Two-body problem analysis and orbit design; Kepler’s Laws; Single-impulse orbit transfers; Hohmann transfers; Circularization; Plane changes; Kepler’s Equation; Planetary sphere of influence; Vector mechanics and relative motion of interplanetary flight; Patched conic trajectory model; Gravity-assist trajectories; Case studies; Restricted three-body problem.,Prerequisite(s): C or better in AE 138 or graduate standing.,,Grading: Letter Graded,,,,
AE,149,Advanced Dynamics and Simulation,3 unit(s),Matlab scripting of Runge Kutta and Adams Bashforth Moulton numerical integration algorithms. Derivation of equations of motion with Lagrange’s equations (with and without a potential energy). Power/energy rate principle. Kane’s equations. Analytical derivation and simulation. Multi-body dynamics. Planar two and three-body astrodynamics. Quaternions. Matlab motion animation.,"Prerequisite(s): C or better in AE 30 and AE 140, or graduate standing.",,Grading: Letter Graded,,,,
AE,157,Aerospace Automatic Control Systems Design,3 unit(s),"Modeling and analysis of aerospace feedback control systems. Stability analysis, root locus design, and frequency response methods for aerospace vehicles and associated automatic control systems. Nyquist/Bode diagrams. Lead-lag, PID compensator designs for aircraft and spacecraft.","Prerequisite(s): C or better in MATH 33A, MATH 39, and AE 138, or graduate standing.",,Grading: Letter Graded,,,,
AE,160,Aerodynamics I,3 unit(s),"Introduction to incompressible, inviscid and viscous aerodynamics through problem solving, computer simulations, water and wind-tunnel experiments, films, and service learning. Topics include aerodynamic forces and moments, flow classification and similarity, conservation laws with applications in the calculation of lift and drag, and boundary layer theory with emphasis on calculation of skin friction and pressure drag.",Prerequisite(s): “C” or better in (MATH 31 or MATH 31X) and PHYS 50 or graduate standing.,,Grading: Letter Graded,,,,
AE,160W,Aerodynamics I Problem-Solving Workshop,1 unit(s),"Optional support course for AE 160, Aerodynamics I. Workshop content and activities are coordinated with material discussed in the AE 160 lecture.",,,Grading: Letter Graded,,,,
AE,162,Aerodynamics II,3 unit(s),"Two-dimensional and three-dimensional, incompressible and compressible potential flow theory. Airfoil and wing theory for subsonic, supersonic, and hypersonic flows. Flow visualization in a water tunnel. Lift and drag measurements in a subsonic wind tunnel.","Prerequisite(s): C or better in ENGR 100W, MATH 33A and (AE 160 or ME 111), or graduate standing.",,Grading: Letter Graded,,,,
AE,162W,Aerodynamics II Problem-Solving Workshop,1 unit(s),Workshop to support aerodynamics material discussed in AE 162 lecture. Students work independently in the workshop with support from the instructor to solve and reflect on problems that are coordinated with the lecture topics. ,,,Grading: Letter Graded,,,,
AE,164,Aerothermodynamics,5 unit(s),"Thermodynamic laws. Shock and expansion waves with applications to supersonic airfoils and wings. Nozzle flow. Flow with heat addition and friction. Aerodynamic heating. Conduction, convection and radiative heat transfer.","Prerequisite(s): C or better in PHYS 52 and AE 160, or graduate standing.",,Grading: Letter Graded,,,,
AE,164W,Aerothermodynamics Problem-Solving Workshop,1 unit(s),"Optional support course for AE 164, Aerothermodynamics. Workshop content and activities are coordinated with material discussed in the AE 164 lecture.",,,Grading: Letter Graded,,,,
AE,165,Aerospace Flight Mechanics,3 unit(s),"Trajectory dynamics of atmospheric flight (aircraft and missiles) and spaceflight (orbital mechanics). Influence of vehicle design on trajectory. Aircraft static performance, stability and control. Rocket launch and re-entry dynamics. Computer simulations.","Prerequisite(s): C or better in (MATH 31 or MATH 31X) and PHYS 50, or graduate standing.",,Grading: Letter Graded,,,,
AE,166,Rocketry,3 unit(s),"Introduction to rocketry through theory, computer simulations, and development / launch of an amateur level rocket. Topics include basic principles of aerodynamics, vehicle structures, rocket propulsion, flight mechanics, avionics, as well as past and current launch vehicle technologies.",Prerequisite(s): C or better in AE 100 or AE 165.,,Grading: Letter Graded,,,,
AE,167,Aerospace Propulsion,3 unit(s),"Basic one-dimensional flows: isentropic, area change, heat addition. Overall performance characteristics of propellers, ramjets, turbojets, turbofans, rockets. Performance analysis of inlets, exhaust nozzles, compressors, burners, and turbines. Rocket flight performance, single-/multi-stage chemical rockets, liquid/solid propellants and design problems.","Prerequisite(s): C or better in AE 164, or graduate standing.",,Grading: Letter Graded,,,,
AE,168,Aerospace Vehicle Dynamics and Control,3 unit(s),"Aircraft/spacecraft dynamics, stability and control. Linearization and Euler transformations. Eigenvalues and eigenvectors. State space and transfer function analysis of dynamics of aerospace vehicles. Feedback control design and synthesis using advanced control techniques.","Prerequisite(s): C or better in AE 140, AE 157, and AE 165, or graduate standing.",,Grading: Letter Graded,,,,
AE,169,Computational Fluid Dynamics,3 unit(s),"Physical and mathematical foundations of computational fluid mechanics with emphasis on applications. Solution methods for the advection, diffusion model equations, the Euter and the Navier-Stokes equations. The finite volume formulation of the equations. Classification of partial differential equations and solution techniques. Truncation errors, stability analysis.",Prerequisite(s): “C” or better in MATH 39 and (AE 160 or ME 111) or graduate standing.,,Grading: Letter Graded,,,,
AE,171A,Aircraft Design I,3 unit(s),"First course in a two-semester sequence, in which students work in teams to complete the conceptual and preliminary design of an aircraft. Students are challenged to consider the relationship of aerospace engineering to the broader community.","Prerequisite(s): Must be senior in good standing with C or better in AE 20, AE 162, AE 165, and ENGR 100W, or graduate standing. Completion of Core General Education and upper division standing are prerequisites to all SJSU Studies courses.","Satisfies SJSU Studies S: Self, Society & Equality in U.S.",Grading: Letter Graded,,,,"Note(s): Meets GE Areas S and V when course is taken in combination with: AE 171B, ENGR 195A and ENGR 195B."
AE,171B,Aircraft Design II,3 unit(s),"Second course in a two-semester sequence, in which students work in teams to complete the conceptual and preliminary design of an aircraft. Students are challenged to consider the relationship of aerospace engineering to the broader community.","Prerequisite(s):  C or better in AE 171A and ENGR 195A, senior in good standing, or graduate level standing. ","Satisfies SJSU Studies V: Cultures and Global Understanding (when taken with AE 171A, ENGR 195A, and ENGR 195B)",Grading: Letter Graded,,,,"Note(s): Meets GE areas S and V when course is taken in combination with: AE 171A, ENGR 195A and ENGR 195B."
AE,172A,Spacecraft Design I,3 unit(s),First course in a two-semester sequence in which students work in teams to complete the conceptual and preliminary design of a spacecraft. Students are challenged to consider the relationship of aerospace engineering to the broader community.,"Prerequisite(s): Must be senior in good standing with C or better in AE 20, AE 162, AE 165, ENGR 100W, or graduate standing. Completion of Core General Education and upper division standing are prerequisites to all SJSU studies courses.","Satisfies SJSU Studies S: Self, Society & Equality in U.S.",Grading: Letter Graded,,,,"Note(s): Meets GE Areas S and V when course is taken in combination with: AE 172B, ENGR 195A and ENGR 195B. "
AE,172B,Spacecraft Design II,3 unit(s),"Second course in a two-semester sequence, in which student teams complete the conceptual, preliminary, and detail design of a spacecraft.  Projects integrate general education (GE) student learning outcomes including the relationship of aerospace engineering to the broader community both in the U.S. and worldwide, ethics, safety and liability issues, as well as issues of culture, civilization and global understanding in relationship to aerospace engineering practice.","Prerequisite(s): “C” or better in AE 172A and ENGR 195A, Senior in good standing or Graduate standing.","Satisfies SJSU Studies V: Cultures and Global Understanding (when taken with AE 172A, ENGR 195A, and ENGR 195B)",Grading: Letter Graded,,,,"Note(s): Meets GE Areas S and V when course is taken in combination with: AE 172A, ENGR 195A and ENGR 195B."
AE,173,Uncrewed Air Vehicle Design,3 unit(s),Introduction of uncrewed aircraft systems (UAS) and relevant design and operation considerations. Vehicle dynamics and flight controls. UAS flight path planning and optimization. Computer simulations.,Prerequisite(s): C or better in AE 30 or graduate standing.,,Grading: Letter Graded,,,,
AE,180,Individual Studies,1-3 unit(s),Individual work on special topics. By arrangement.,Prerequisite(s): Upper division standing and instructor consent. Not available to Open University Students.,,Grading: Letter Graded,,,,
AE,192,International Program Studies,1-12 unit(s),"Study Abroad and Away transfer credit course. Study Abroad and Away provides students the opportunity to study abroad on long term programs (Exchange Programs, CSU International Programs, and International Student Exchange Programs) and short-term programs (Faculty-Led Programs and Summer School Abroad Programs) for academic credit, offering Alternative Break Programs for cultural immersion, and designing other globally focused opportunities. This course is designated as a placeholder course for Study Abroad and Away programs.",,,Grading: Mixed Grading,,,,
AE,199,Special Topics in Aerospace Engineering,1-4 unit(s),Special topics that are currently of interest to industry and academia. Content varies from semester to semester.,Prerequisite(s): Upper division standing or instructor consent,,Grading: Letter Graded,Course may be repeated for credit for up to 12 units.,,,
AE,200,Engineering Analysis of Aerospace Systems,3 unit(s),"Advanced engineering mathematics including linear algebra, Ordinary Differential Equations (ODEs), Fourier analysis, Partial Differential Equations (PDEs) and numerical methods with applications in Aerospace Engineering.",Prerequisite(s):  BS in Aerospace Engineering or instuctor consent.,,Grading: Letter Graded,,,,
AE,210,Advanced Space Systems Engineering,3 unit(s),"Overview of the engineering process used in aerospace mission and system design spanning the entire system life cycle for the near-Earth and outer space environment. Effects of gravity field, temperature and radiation on physical systems and the human organism. Mission program inception, proposal development, cost analysis and risk management.",Prerequisite(s): BS in Aerospace Engineering or instructor consent.,Satisfies GWAR: Graduation Writing Assessment Requirement.,Grading: Letter Graded,,,,Note(s): This course satisfies graduate-level GWAR in this master’s program.
AE,242,Orbital Mechanics and Mission Design,3 unit(s),"Two-body problem, conic sections, time of flight. Gibb’s method of orbit determination, maneuver analysis for Earth orbiters and interplanetary flight. Euler-Hill equations. Mission design constraints on orbit geometry and launch window analysis.",Prerequisite(s): BS in Aerospace Engineering or instructor consent.,,Grading: Letter Graded,,,,
AE,243,Advanced Astrodynamics,3 unit(s),Analysis of spacecraft motion using different dynamic models and perturbations. Use of the state transition matrix and differential corrections technique for trajectory computation. Orbit determination and station-keeping methods. Introduction to the three-body problem. Application of computational and analytic methods to solve astrodynamic problems.,Prerequisite(s): BS in Aerospace Engineering or instructor consent.,,Grading: Letter Graded,,,,
AE,245,Spacecraft Dynamics and Control,3 unit(s),"Rigid body dynamics review. Attitude kinematical representations. Development and solution of general equations of motion. Single and dual-spin, zero and biased-momentum spacecraft. Control system design strategies. Common torquer elements. Computer simulations.",Prerequisite(s): BS in Aerospace Engineering or instructor consent.,,Grading: Letter Graded,,,,
AE,246,Advanced Aircraft Stability and Control,3 unit(s),"Natural longitudinal and lateral/directional motion of aircraft; mode shapes, eigenvalues, eigenvectors. Analysis and synthesis of various aircraft autopilots using classical and state space formulations.",Prerequisite(s): BS in Aerospace Engineering or instructor consent.,,Grading: Letter Graded,,,,
AE,247,Trajectory Optimization in Aerospace Applications,3 unit(s),"Formulation and solution of optimization problems in aerospace engineering. Parameter optimization, minima of functions and functionals, necessary conditions, calculus of variations, control formulation, two-point boundary-value problems. Primer vector theory. Applications to typical problems in aerospace engineering, such as optimal launch, minimum time to climb, maximum range, and optimal space trajectories.",Prerequisite(s): BS in Aerospace Engineering or instructor consent.,,Grading: Letter Graded,,,,
AE,250,Advanced Structures and Materials,3 unit(s),"Design and analysis of modern flight structures including static and dynamic structural response; materials design including metals, alloys, composites. Introduction to modern computational methods including finite elements.",Prerequisite(s): BS in Aerospace Engineering or instructor consent.,,Grading: Letter Graded,,,,
AE,251,Structural Vibrations for Aerospace Applications,3 unit(s),"Introduces the analysis of vibrations of very flexible bodies encountered as elements of aircraft wings and space structures. Topics include: free and forced vibrations of single- and multi-degree of freedom systems, simplified analysis of vibrations induced by flutter, free and forced vibrations of wings in bending and torsion, signal processing techniques for time-varying signals, forced and ground vibration testing of aerospace components, finite element analysis for wings and space structures, spacecraft and aircraft dynamic design loads.",Prerequisite(s): BS in Aerospace Engineering or BS in Mechanical Engineering or instructor consent.,,Grading: Letter Graded,,,,
AE,262,Advanced Aerodynamics,3 unit(s),"Thin airfoil theory. Prandtl’s lifting-line theory. Subsonic and supersonic airfoil and wing theory. High-angle of attack aerodynamics. Boundary layer theory; Blasius and Falkner-Skan solutions, compressible boundary layers, turbulent flows, separation criteria.",Prerequisite(s): BS in Aerospace Engineering or instructor consent.,,Grading: Letter Graded,,,,
AE,264,Gas Dynamics,3 unit(s),"Advanced topics in compressible flow theory with emphasis on the design of high subsonic, supersonic and hypersonic vehicles.  In addition to classical compressible flow theory and problem solving, the course may include supersonic wind tunnel experiments and computer simulations.",Prerequisite(s): BS in Aerospace Engineering or BS in Mechanical Engineering or instructor consent.,,Grading: Letter Graded,,,,
AE,265,Boundary Layers,3 unit(s),"Boundary layer analysis on airfoils and aerodynamic surfaces: integral methods (Pohlhausen, Thwaites-Walz). Self-similar solutions for laminar boundary layers: Blasius solution and Falkner-Skan flows. Explicit finite difference methods for the solution of incompressible, laminar boundary layers with and without external pressure gradients. Compressible, boundary layers: general solutions, self-similar solutions in supersonic and hypersonic flow regimes. Turbulent boundary layers: transition, universal law of the wall, turbulence models.",Prerequisite(s): BS in Aerospace Engineering or instructor consent.,,Grading: Letter Graded,,,,
AE,266,Hypersonics,3 unit(s),"Fundamental principles of hypersonic aerodynamics. Development of important theory and techniques, discussion of salient results with emphasis on physical aspects, and presentation of modern thinking on the subject.",Prerequisite(s): Graduate standing or instructor consent,,Grading: Letter Graded,,,,
